Gene name,Gene description
Zpld1,zona pellucida-like domain containing 1
Cntn6,contactin 6
Prss12,serine protease 12
Gldc,glycine decarboxylase
Adamts17,"ADAM metallopeptidase with thrombospondin type 1 motif, 17"
Aldh1a1,"aldehyde dehydrogenase 1 family, member A1"
Cobll1,cordon-bleu WH2 repeat protein-like 1
Pcsk5,proprotein convertase subtilisin/kexin type 5
Tex101,testis expressed 101
Qsox1,quiescin sulfhydryl oxidase 1
Sema4f,ssemaphorin 4F
Cpe,carboxypeptidase E
Hapln1,hyaluronan and proteoglycan link protein 1
Marveld1,MARVEL domain containing 1
Tuba4a,"tubulin, alpha 4A"
Parm1,prostate androgen-regulated mucin-like protein 1
Sqor,sulfide quinone oxidoreductase
Sbspon,"somatomedin B and thrombospondin, type 1 domain containing"
Col9a3,collagen type IX alpha 3 chain
Peg3,paternally expressed 3
Emp2,epithelial membrane protein 2
Clca4l,chloride channel calcium activated 4-like
Chst2,carbohydrate sulfotransferase 2
Acta2,"actin alpha 2, smooth muscle"
Htra1,HtrA serine peptidase 1
Igfbp3,insulin-like growth factor binding protein 3
Tril,TLR4 interactor with leucine-rich repeats
Synpr,synaptoporin
A2m,alpha-2-macroglobulin
Myo1d,myosin ID
Ccn3,cellular communication network factor 3
Prss23,serine protease 23
Sumo3,small ubiquitin-like modifier 3
Grb14,growth factor receptor bound protein 14
Steap2,STEAP2 metalloreductase
Id2,inhibitor of DNA binding 2
Tf,transferrin
Adamtsl3,ADAMTS-like 3
Ltbp1,latent transforming growth factor beta binding protein 1
Prx,periaxin
Defb29,defensin beta 29
Cdca7l,cell division cycle associated 7 like
Gypc,glycophorin C
Manba,mannosidase beta
Serpini1,serpin family I member 1
Ntn1,netrin 1
Mag,myelin-associated glycoprotein
Nrbp1,nuclear receptor binding protein 1
Srgap1,SLIT-ROBO Rho GTPase activating protein 1
Ptgfr,prostaglandin F receptor
Vopp1,VOPP1 WW domain binding protein
Pltp,phospholipid transfer protein
Man1a1,"mannosidase, alpha, class 1A, member 1"
Drp2,dystrophin related protein 2
Slc22a17,"solute carrier family 22, member 17"
Tagln,transgelin
Cep295nl,CEP295 N-terminal like
Aif1l,allograft inflammatory factor 1-like
Mfap5,microfibril associated protein 5
Mpz,myelin protein zero
Ctbs,chitobiase
P2ry2,purinergic receptor P2Y2
Hs6st2,heparan sulfate 6-O-sulfotransferase 2
Tubb4a,"tubulin, beta 4A class IVa"
Abca8a,"ATP-binding cassette, subfamily A (ABC1), member 8a"
Cxcl14,C-X-C motif chemokine ligand 14
Ighm,immunoglobulin heavy constant epsilon
Pxdn,peroxidasin
Serinc5,serine incorporator 5
Tent5c,terminal nucleotidyltransferase 5C
Nrp1,neuropilin 1
Piezo2,piezo-type mechanosensitive ion channel component 2
Apod,apolipoprotein D
Matn3,matrilin 3
Sncg,"synuclein, gamma"
Slc9a9,solute carrier family 9 member A9
Riox2,ribosomal oxygenase 2
Cdh13,cadherin 13
Abcb4,ATP binding cassette subfamily B member 4
Scn7a,sodium voltage-gated channel alpha subunit 7
Magec2l1,MAGE family member C2 like 1
Pkp1,plakophilin 1
Epas1,endothelial PAS domain protein 1
Gprc5b,"G protein-coupled receptor, class C, group 5, member B"
Efemp2,EGF containing fibulin extracellular matrix protein 2
Ddx1,DEAD-box helicase 1
Aig1,androgen-induced 1
Pappa,pappalysin
Eif2ak2,eukaryotic translation initiation factor 2-alpha kinase 2
Rrm2,ribonucleotide reductase regulatory subunit M2
Ecel1,endothelin converting enzyme-like 1
Serpinf1,serpin family F member 1
Atf3,activating transcription factor 3
Icoslg,inducible T-cell co-stimulator ligand
Ppp1r36,"protein phosphatase 1, regulatory subunit 36"
Trim35,tripartite motif-containing 35
Gldn,gliomedin
Krtap1-5,keratin associated protein 1-5
Alpl,"alkaline phosphatase, biomineralization associated"
Robo2,roundabout guidance receptor 2
Tspan4,tetraspanin 4
Nrp2,neuropilin 2
Gprc5a,"G protein-coupled receptor, class C, group 5, member A"
Rnf144a,ring finger protein 144A
Frrs1,ferric-chelate reductase 1
St3gal5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
Kif1a,kinesin family member 1A
Adamtsl1,ADAMTS-like 1
Lifr,LIF receptor subunit alpha
Slit2,slit guidance ligand 2
Tnik,TRAF2 and NCK interacting kinase
Gnai1,G protein subunit alpha i1
Col20a1,collagen type XX alpha 1 chain
Snx6,sorting nexin 6
Mageb16,MAGE family member B16
Prkd3,protein kinase D3
Dpysl5,dihydropyrimidinase-like 5
Prkar2b,protein kinase cAMP-dependent type II regulatory subunit beta
Cd9,CD9 molecule
Ebf1,EBF transcription factor 1
Cldn19,claudin 19
Lrp2,LDL receptor related protein 2
Col15a1,collagen type XV alpha 1 chain
Sipa1l1,signal-induced proliferation-associated 1 like 1
Emilin1,elastin microfibril interfacer 1
Ppp1r14c,"protein phosphatase 1, regulatory (inhibitor) subunit 14c"
Tmem26,transmembrane protein 26
Dyrk1a,dual specificity tyrosine phosphorylation regulated kinase 1A
Ryr3,ryanodine receptor 3
Septin4,septin 4
Lrrtm3,leucine rich repeat transmembrane neuronal 3
Nek9,NIMA-related kinase 9
Cd151,CD151 molecule (Raph blood group)
Pfn2,profilin 2
Selplg,selectin P ligand
Psmd2,"proteasome 26S subunit ubiquitin receptor, non-ATPase 2"
Ifnar1,interferon alpha and beta receptor subunit 1
Fhod3,formin homology 2 domain containing 3
Nfatc1,nuclear factor of activated T-cells 1
Cggbp1,CGG triplet repeat binding protein 1
Sgpl1,sphingosine-1-phosphate lyase 1
Runx3,RUNX family transcription factor 3
Vps26c,VPS26 endosomal protein sorting factor C
Itpripl1,ITPRIP like 1
Fbxo11,F-box protein 11
Msi1,musashi RNA-binding protein 1
Slco3a1,"solute carrier organic anion transporter family, member 3a1"
Zfp518a,zinc finger protein 518A
Hs6st1,heparan sulfate 6-O-sulfotransferase 1
Agpat5,1-acylglycerol-3-phosphate O-acyltransferase 5
Pam,peptidylglycine alpha-amidating monooxygenase
Phldb2,"pleckstrin homology-like domain, family B, member 2"
Pnpt1,polyribonucleotide nucleotidyltransferase 1
Poglut1,protein O-glucosyltransferase 1
Acap2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
Gja1,"gap junction protein, alpha 1"
Tspan5,tetraspanin 5
Tpcn1,two pore segment channel 1
Nes,nestin
Sema3g,semaphorin 3G
Met,"MET proto-oncogene, receptor tyrosine kinase"
Nampt,nicotinamide phosphoribosyltransferase
Pmp22,peripheral myelin protein 22
Aff3,ALF transcription elongation factor 3
Ccn4,cellular communication network factor 4
Taf9b,TATA-box binding protein associated factor 9b
Magea4,MAGE family member A4
Dpysl3,dihydropyrimidinase-like 3
Rhoj,ras homolog family member J
Asap1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1"
Itga8,integrin subunit alpha 8
Mef2c,myocyte enhancer factor 2C
Cldnd1,claudin domain containing 1
Olfm2,olfactomedin 2
Magea9,MAGE family member A9
Msh2,mutS homolog 2
Cers6,ceramide synthase 6
Hadhb,hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
Atf5,activating transcription factor 5
Vash1,vasohibin 1
Smc6,structural maintenance of chromosomes 6
ENSRNOG00000062503,Description not found
Ppm1f,"protein phosphatase, Mg2+/Mn2+ dependent, 1F"
Klf9,KLF transcription factor 9
Psap,prosaposin
Fth1,ferritin heavy chain 1
Numb,"NUMB, endocytic adaptor protein"
Klhl29,kelch-like family member 29
Itga7,integrin subunit alpha 7
Mal,"mal, T-cell differentiation protein"
C1qtnf1,C1q and TNF related 1
Arsg,arylsulfatase G
Timp1,TIMP metallopeptidase inhibitor 1
Rcn3,reticulocalbin 3
Ppfia4,PTPRF interacting protein alpha 4
Cxcl12,C-X-C motif chemokine ligand 12
Nlrp1a,"NLR family, pyrin domain containing 1A"
Vrk1,VRK serine/threonine kinase 1
Fam20c,"FAM20C, golgi associated secretory pathway kinase"
Wnt5a,Wnt family member 5A
Plxnb1,plexin B1
Arsb,arylsulfatase B
Ano5,anoctamin 5
Cenpo,centromere protein O
ENSRNOG00000063649,Description not found
Ppard,peroxisome proliferator-activated receptor delta
Has2,hyaluronan synthase 2
Fut10,fucosyltransferase 10
Slitrk6,"SLIT and NTRK-like family, member 6"
Lef1,lymphoid enhancer binding factor 1
Inpp5a,inositol polyphosphate-5-phosphatase A
Tnfrsf1a,TNF receptor superfamily member 1A
Parp14,"poly (ADP-ribose) polymerase family, member 14"
Ghr,growth hormone receptor
Zfyve28,zinc finger FYVE-type containing 28
Pgm1,phosphoglucomutase 1
Chmp2b,charged multivesicular body protein 2B
Olfml1,olfactomedin-like 1
Bace2,beta-secretase 2
Gpnmb,glycoprotein nmb
Mybl1,MYB proto-oncogene like 1
Col11a1,collagen type XI alpha 1 chain
Efna5,ephrin A5
Papola,poly (A) polymerase alpha
Pals1,"protein associated with LIN7 1, MAGUK p55 family member"
Col8a2,collagen type VIII alpha 2 chain
Hspa12a,heat shock protein family A (Hsp70) member 12A
Hmx3,H6 family homeobox 3
Vps8,VPS8 subunit of CORVET complex
Dhrs1,dehydrogenase/reductase 1
Hsp90aa1,heat shock protein 90 alpha family class A member 1
Bgn,biglycan
Snx4,sorting nexin 4
Ptrh1,peptidyl-tRNA hydrolase 1 homolog
Ckap4,cytoskeleton-associated protein 4
Slc35a2,solute carrier family 35 member A2
Gcnt1,glucosaminyl (N-acetyl) transferase 1
Klhdc2,kelch domain containing 2
Slc39a13,solute carrier family 39 member 13
Rab10,"RAB10, member RAS oncogene family"
Septin5,septin 5
Stard13,StAR-related lipid transfer domain containing 13
Cpsf2,cleavage and polyadenylation specific factor 2
Tbccd1,TBCC domain containing 1
Map1lc3a,microtubule-associated protein 1 light chain 3 alpha
Stk39,serine threonine kinase 39
Igf2bp2,insulin-like growth factor 2 mRNA binding protein 2
Steap1,STEAP family member 1
Gtf2e1,general transcription factor IIE subunit 1
Cpm,carboxypeptidase M
